dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,9,v1_lda,max-prob,0.45075757575757575,0.45,0.3700627622312967,0.5378151260504201,0.46218487394957986,119
BCI_IV_2a,9,v1_lda,max-prob,0.5,0.5,0.36479904879186426,0.5227272727272727,0.4772727272727273,132
BCI_IV_2a,9,v1_lda,max-prob,0.553030303030303,0.55,0.35977998125184457,0.5410958904109588,0.4589041095890411,146
BCI_IV_2a,9,v1_lda,max-prob,0.6022727272727273,0.6,0.3560445501612575,0.5471698113207547,0.4528301886792453,159
BCI_IV_2a,9,v1_lda,max-prob,0.6515151515151515,0.65,0.35003388123746265,0.563953488372093,0.436046511627907,172
BCI_IV_2a,9,v1_lda,max-prob,0.7007575757575758,0.7,0.34489202034071814,0.5783783783783784,0.42162162162162165,185
BCI_IV_2a,9,v1_lda,max-prob,0.75,0.75,0.33977579929129664,0.5757575757575757,0.42424242424242425,198
BCI_IV_2a,9,v1_lda,max-prob,0.803030303030303,0.8,0.3357135227594,0.5801886792452831,0.419811320754717,212
BCI_IV_2a,9,v1_lda,max-prob,0.8522727272727273,0.85,0.32983224127951444,0.5955555555555556,0.40444444444444444,225
BCI_IV_2a,9,v1_lda,max-prob,0.9015151515151515,0.9,0.32483121616033794,0.6050420168067228,0.3949579831932773,238
BCI_IV_2a,9,v1_lda,max-prob,0.9507575757575758,0.95,0.317653371552539,0.6095617529880478,0.3904382470119522,251
BCI_IV_2a,9,v1_lda,max-prob,1.0,1.0,0.30113776407547627,0.6174242424242424,0.38257575757575757,264
